finding_id,project_name,framework,rule_id,rule_name,category,severity,risk_score,file_path,line,snippet,recommendation
rietveld__DJ-COOKIE-001__1,rietveld,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE not set,session_security,High,6.5,settings.py,,SESSION_COOKIE_SECURE not found in settings.,Add SESSION_COOKIE_SECURE = True to your production settings.
edx-val__DJ-CSRF-001__2,edx-val,django,DJ-CSRF-001,@csrf_exempt decorator used,csrf_protection,High,7.0,edxval/pacts/views.py,22,@csrf_exempt,"Remove @csrf_exempt and use Django's CSRF middleware. For REST APIs, use token-based auth (DRF SessionAuthentication or JWT) instead of exempting CSRF."
cute_prep__DJ-CSRF-001__3,cute_prep,django,DJ-CSRF-001,@csrf_exempt decorator used,csrf_protection,High,7.0,apps/core/views.py,197,@csrf_exempt,"Remove @csrf_exempt and use Django's CSRF middleware. For REST APIs, use token-based auth (DRF SessionAuthentication or JWT) instead of exempting CSRF."
robo-poet__DJ-DEBUG-001__4,robo-poet,django,DJ-DEBUG-001,DEBUG mode enabled,security_misconfiguration,Critical,8.0,robo_poet_web/settings.py,26,DEBUG = True,Set DEBUG = False for all production deployments.
robo-poet__DJ-SECRET-001__5,robo-poet,django,DJ-SECRET-001,Hardcoded SECRET_KEY,secrets_management,Critical,8.0,robo_poet_web/settings.py,23,SECRET_KEY = 'django-insecure-g+*p1ns_2&rt0j-=3vqcpzk#ek206q@8p1drrho$0ghpktue@6',Load SECRET_KEY from the environment: SECRET_KEY = os.environ['DJANGO_SECRET_KEY']
robo-poet__DJ-HOSTS-001__6,robo-poet,django,DJ-HOSTS-001,ALLOWED_HOSTS empty,security_misconfiguration,High,6.5,robo_poet_web/settings.py,28,ALLOWED_HOSTS = [],Set ALLOWED_HOSTS to your explicit domain list before deploying.
robo-poet__DJ-COOKIE-001__7,robo-poet,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE not set,session_security,High,6.5,robo_poet_web/settings.py,,SESSION_COOKIE_SECURE not found in settings.,Add SESSION_COOKIE_SECURE = True to your production settings.
robo-poet__DJ-ERROR-001__8,robo-poet,django,DJ-ERROR-001,traceback.format_exc() in application code,error_handling,High,6.0,src/legacy/archive/legacy/robo_poet_original_backup.py,588,"print(f""   Detalles: {traceback.format_exc()[:200]}..."")",Log the traceback server-side only (e.g. logger.exception(...)). Return a generic error message to the client.
multi_tenant_auth__DJ-DEBUG-001__9,multi_tenant_auth,django,DJ-DEBUG-001,DEBUG mode enabled,security_misconfiguration,Critical,8.0,tests/settings.py,10,DEBUG = True,Set DEBUG = False for all production deployments.
multi_tenant_auth__DJ-SECRET-001__10,multi_tenant_auth,django,DJ-SECRET-001,Hardcoded SECRET_KEY,secrets_management,Critical,8.0,tests/settings.py,11,SECRET_KEY = 'test-secret-key-for-testing-only-please-change-in-production',Load SECRET_KEY from the environment: SECRET_KEY = os.environ['DJANGO_SECRET_KEY']
multi_tenant_auth__DJ-COOKIE-001__11,multi_tenant_auth,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE disabled,session_security,High,6.5,tests/settings.py,279,SESSION_COOKIE_SECURE = False,Set SESSION_COOKIE_SECURE = True in production settings.
multi_tenant_auth__DJ-COOKIE-002__12,multi_tenant_auth,django,DJ-COOKIE-002,SESSION_COOKIE_HTTPONLY disabled,session_security,High,6.5,tests/settings.py,280,SESSION_COOKIE_HTTPONLY = False,Remove this line or set SESSION_COOKIE_HTTPONLY = True.
multi_tenant_auth__DJ-CSRF-001__13,multi_tenant_auth,django,DJ-CSRF-001,@csrf_exempt decorator used,csrf_protection,High,7.0,tests/urls.py,31,@csrf_exempt,"Remove @csrf_exempt and use Django's CSRF middleware. For REST APIs, use token-based auth (DRF SessionAuthentication or JWT) instead of exempting CSRF."
multi_tenant_auth__DJ-CSRF-001__14,multi_tenant_auth,django,DJ-CSRF-001,@csrf_exempt decorator used,csrf_protection,High,7.0,tests/urls.py,57,@csrf_exempt,"Remove @csrf_exempt and use Django's CSRF middleware. For REST APIs, use token-based auth (DRF SessionAuthentication or JWT) instead of exempting CSRF."
multi_tenant_auth__DJ-CSRF-001__15,multi_tenant_auth,django,DJ-CSRF-001,@csrf_exempt decorator used,csrf_protection,High,7.0,tests/urls.py,113,@csrf_exempt,"Remove @csrf_exempt and use Django's CSRF middleware. For REST APIs, use token-based auth (DRF SessionAuthentication or JWT) instead of exempting CSRF."
multi_tenant_auth__DJ-CSRF-001__16,multi_tenant_auth,django,DJ-CSRF-001,@csrf_exempt decorator used,csrf_protection,High,7.0,tests/urls.py,159,@csrf_exempt,"Remove @csrf_exempt and use Django's CSRF middleware. For REST APIs, use token-based auth (DRF SessionAuthentication or JWT) instead of exempting CSRF."
django-login-register__DJ-DEBUG-001__17,django-login-register,django,DJ-DEBUG-001,DEBUG mode enabled,security_misconfiguration,Critical,8.0,core/settings.py,29,DEBUG = True,Set DEBUG = False for all production deployments.
django-login-register__DJ-HOSTS-001__18,django-login-register,django,DJ-HOSTS-001,ALLOWED_HOSTS empty,security_misconfiguration,High,6.5,core/settings.py,31,ALLOWED_HOSTS = [],Set ALLOWED_HOSTS to your explicit domain list before deploying.
django-login-register__DJ-COOKIE-001__19,django-login-register,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE not set,session_security,High,6.5,core/settings.py,,SESSION_COOKIE_SECURE not found in settings.,Add SESSION_COOKIE_SECURE = True to your production settings.
dj-store__DJ-DEBUG-001__20,dj-store,django,DJ-DEBUG-001,DEBUG mode enabled,security_misconfiguration,Critical,8.0,project/settings.py,29,DEBUG = True,Set DEBUG = False for all production deployments.
dj-store__DJ-SECRET-001__21,dj-store,django,DJ-SECRET-001,Hardcoded SECRET_KEY,secrets_management,Critical,8.0,project/settings.py,26,SECRET_KEY = 'django-insecure-(g@^_^o&%98-)3%clnh%^1cvxrs%ep(23n!o=$a@oarj=v4@^3',Load SECRET_KEY from the environment: SECRET_KEY = os.environ['DJANGO_SECRET_KEY']
dj-store__DJ-HOSTS-001__22,dj-store,django,DJ-HOSTS-001,ALLOWED_HOSTS empty,security_misconfiguration,High,6.5,project/settings.py,31,ALLOWED_HOSTS = [],Set ALLOWED_HOSTS to your explicit domain list before deploying.
dj-store__DJ-COOKIE-001__23,dj-store,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE not set,session_security,High,6.5,project/settings.py,,SESSION_COOKIE_SECURE not found in settings.,Add SESSION_COOKIE_SECURE = True to your production settings.
django-auth-backend__DJ-COOKIE-001__24,django-auth-backend,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE not set,session_security,High,6.5,src/django_auth/settings.py,,SESSION_COOKIE_SECURE not found in settings.,Add SESSION_COOKIE_SECURE = True to your production settings.
django-mail-auth__DJ-DEBUG-001__25,django-mail-auth,django,DJ-DEBUG-001,DEBUG mode enabled,security_misconfiguration,Critical,8.0,tests/testapp/settings.py,27,DEBUG = True,Set DEBUG = False for all production deployments.
django-mail-auth__DJ-SECRET-001__26,django-mail-auth,django,DJ-SECRET-001,Hardcoded SECRET_KEY,secrets_management,Critical,8.0,tests/testapp/settings.py,24,"SECRET_KEY = ""supersecret""  # noqa: S105",Load SECRET_KEY from the environment: SECRET_KEY = os.environ['DJANGO_SECRET_KEY']
django-mail-auth__DJ-HOSTS-001__27,django-mail-auth,django,DJ-HOSTS-001,ALLOWED_HOSTS empty,security_misconfiguration,High,6.5,tests/testapp/settings.py,29,ALLOWED_HOSTS = [],Set ALLOWED_HOSTS to your explicit domain list before deploying.
django-mail-auth__DJ-COOKIE-001__28,django-mail-auth,django,DJ-COOKIE-001,SESSION_COOKIE_SECURE not set,session_security,High,6.5,tests/testapp/settings.py,,SESSION_COOKIE_SECURE not found in settings.,Add SESSION_COOKIE_SECURE = True to your production settings.
weird-side-youtube__EX-HELMET-001__29,weird-side-youtube,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,".eslintrc.js, app.js, config/db.js, controllers/admin.js, controllers/api.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
weird-side-youtube__EX-RATE-001__30,weird-side-youtube,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,router/routes/root.js,6,"router.get('/register', root.getRegister);","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
weird-side-youtube__EX-AUTHZ-001__31,weird-side-youtube,express,EX-AUTHZ-001,Sensitive route without auth middleware,authorization,High,7.5,router/index.js,5,"app.use('/admin', require('./routes/admin'));","Add authentication middleware to all sensitive routes: router.get('/admin', verifyToken, adminHandler)"
weird-side-youtube__EX-JSON-001__32,weird-side-youtube,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,app.js,25,app.use(bodyParser.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
sharey__EX-HELMET-001__33,sharey,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,"cloudconfig.js, df.js, index.js, user.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
sharey__EX-RATE-001__34,sharey,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,df.js,70,"app.post(""/login"", passport.authenticate('local', {","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
sharey__EX-RATE-001__35,sharey,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,index.js,66,"app.post(""/login"", Passport.authenticate('local', { failureRedirect: '/', failureFlash: false }), async (req, res) => {","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
wanderlust__EX-HELMET-001__36,wanderlust,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,"initial.js, listing.js, middle.js, middleware.js, mp.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
wanderlust__EX-RATE-001__37,wanderlust,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,mp.js,187,"app.get(""/signup"",(req,res)=>{","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
event-management__EX-HELMET-001__38,event-management,express,EX-HELMET-001,Helmet middleware not used,security_headers,High,7.0,"1.js, server.js",,No helmet() call found.,npm install helmet  and add app.use(helmet()) in your Express app setup.
event-management__EX-RATE-001__39,event-management,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,1.js,154,"app.post(""/signup"", async (req, res) => {","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
event-management__EX-RATE-001__40,event-management,express,EX-RATE-001,No rate limiting on auth routes,brute_force_protection,High,7.0,server.js,160,"app.post(""/signup"", async (req, res) => {","Install express-rate-limit and apply it to auth routes: const limiter = rateLimit({ windowMs: 15*60*1000, max: 20 }); router.post('/login', limiter, loginHandler);"
event-management__EX-JSON-001__41,event-management,express,EX-JSON-001,JSON body parser has no size limit,denial_of_service,High,6.5,1.js,81,app.use(bodyParser.json());,Set an explicit body size limit: app.use(express.json({ limit: '10kb' }))
